EC-Lab ASCII FILE
Nb header lines  58                          

Cyclic Voltammetry

Run on channel  3 (SN 35515)
User  
CE vs. WE compliance from -10 V to 10 V
Electrode connection  standard
Ewe ctrl range  min = -2.50 V, max = 2.50 V
Safety Limits 
	Do not start on E overload
Acquisition started on  03112020 151016
Technique started on  03112020 151016
Saved on 
	File  03112020_MnO2_RDE_50mVs_2500rpm_ExtendedBounds_120mL_counter_C04_C03.mpr
	Directory  CUsersCESLDocumentsEC-LabDataUndergradKatelynEChem20200311
	Host  169.254.217.189
Device  VSP (SN 1724172417241724)
Address  USB
EC-Lab for windows v11.16 (software)
Internet server v11.16 (firmware)
Command interpretor v11.16 (firmware)
Electrode material  AuPd
Initial state  
Electrolyte  NaCl (0.2M)
Comments  Fe(CN)63-Fe(CN)64- 5.10-3 M
Reference electrode  SCE Saturated Calomel Electrode (0.241 V)
Electrode surface area  0.001 cm²
Characteristic mass  0.001 g
Equivalent Weight  0.000 geq.
Density  0.000 gcm3
Record Ece
Record Power
Cycle Definition  ChargeDischarge alternance
Ei (V)              -1.000              
vs.                 Ref                 
dEdt               50.000              
dEdt unit          mVs                
E1 (V)              1.200               
vs.                 Ref                 
Step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   
E2 (V)              -2.000              
vs.                 Ref                 
nc cycles           2                   
Reverse Scan        1                   
Ef (V)              -1.000              
vs.                 Ref                 

mode	oxred	error	control changes	counter inc.	times	controlV	EweV	ImA	cycle number	(Q-Qo)C	EceV	PW	Ewe-EceV	
2	1	0	1	0	1.371199965360574E+000	-9.2847949E-001	-9.2886567E-001	-6.200208747112734E-002	1.000000000000000E+000	-9.9422992E-005	4.0647423E-001	5.7591613E-005	-1.3353399E+000
2	1	0	1	0	1.391199964855332E+000	-9.2747927E-001	-9.2779583E-001	-6.167714776367750E-002	1.000000000000000E+000	-1.0065951E-004	4.0697068E-001	5.7223799E-005	-1.3347665E+000
2	1	0	1	0	1.411199964350089E+000	-9.2647904E-001	-9.2681181E-001	-6.137094743058291E-002	1.000000000000000E+000	-1.0188961E-004	4.0676767E-001	5.6879318E-005	-1.3335795E+000
2	1	0	1	0	1.431199963844847E+000	-9.2547882E-001	-9.2586505E-001	-6.106872525480048E-002	1.000000000000000E+000	-1.0311340E-004	4.0583634E-001	5.6541397E-005	-1.3317014E+000
2	1	0	1	0	1.451199963339604E+000	-9.2447853E-001	-9.2484498E-001	-6.078568405549345E-002	1.000000000000000E+000	-1.0433146E-004	4.0446311E-001	5.6217334E-005	-1.3293080E+000
2	1	0	1	0	1.471199962834362E+000	-9.2347831E-001	-9.2380053E-001	-6.054498420497900E-002	1.000000000000000E+000	-1.0554432E-004	4.0276212E-001	5.5931487E-005	-1.3265626E+000
2	1	0	1	0	1.491199962329119E+000	-9.2247808E-001	-9.2283672E-001	-6.047992661155566E-002	1.000000000000000E+000	-1.0675415E-004	4.0147081E-001	5.5813100E-005	-1.3243076E+000
2	1	0	1	0	1.511199961823877E+000	-9.2147785E-001	-9.2185813E-001	-6.031736611233407E-002	1.000000000000000E+000	-1.0796187E-004	4.0020314E-001	5.5604054E-005	-1.3220613E+000
2	1	0	1	0	1.531199961318634E+000	-9.2047757E-001	-9.2084652E-001	-6.008515303255990E-002	1.000000000000000E+000	-1.0916558E-004	3.9888510E-001	5.5329201E-005	-1.3197316E+000
2	1	0	1	0	1.551199960813392E+000	-9.1947734E-001	-9.1983175E-001	-5.983269782478207E-002	1.000000000000000E+000	-1.1036410E-004	3.9838949E-001	5.5036016E-005	-1.3182212E+000
2	1	0	1	0	1.571199960308149E+000	-9.1847712E-001	-9.1881174E-001	-5.953966594016591E-002	1.000000000000000E+000	-1.1155725E-004	3.9744359E-001	5.4705743E-005	-1.3162553E+000
2	1	0	1	0	1.591199959802907E+000	-9.1747689E-001	-9.1781926E-001	-5.920871641461023E-002	1.000000000000000E+000	-1.1274451E-004	3.9658111E-001	5.4342901E-005	-1.3144004E+000
2	1	0	1	0	1.611199959297664E+000	-9.1647673E-001	-9.1680032E-001	-5.885433885850944E-002	1.000000000000000E+000	-1.1392485E-004	3.9636987E-001	5.3957676E-005	-1.3131702E+000
2	1	0	1	0	1.631199958792422E+000	-9.1547650E-001	-9.1585141E-001	-5.852665988883610E-002	1.000000000000000E+000	-1.1509830E-004	3.9562249E-001	5.3601725E-005	-1.3114738E+000
2	1	0	1	0	1.651299958284653E+000	-9.1447949E-001	-9.1484541E-001	-5.825377931014986E-002	1.000000000000000E+000	-1.1627155E-004	3.9458346E-001	5.3293203E-005	-1.3094289E+000
2	1	0	0	0	1.671399957776885E+000	-9.1347593E-001	-9.1385162E-001	-5.805736990037580E-002	1.000000000000000E+000	-1.1743995E-004	3.9333972E-001	5.3055825E-005	-1.3071914E+000
2	1	0	0	0	1.691399957271642E+000	-9.1247576E-001	-9.1287923E-001	-5.791735156930788E-002	1.000000000000000E+000	-1.1859924E-004	3.9161593E-001	5.2871550E-005	-1.3044951E+000
